Date: 2023/12/11   16:38:10
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,419.3,-0.016,0.006,0.907,1.9,Auto,0,15.0,
1,419.3,-0.016,0.006,0.907,1.9,Auto,0,15.0,
2,414.9,-0.008,0.002,0.909,1.9,Auto,0,15.0,
3,415.1,0.000,0.000,0.909,2.1,Auto,0,15.0,
4,411.8,-0.007,0.012,0.905,2.1,Auto,0,15.0,
5,411.8,-0.007,0.012,0.905,2.1,Auto,0,15.0,
6,408.9,-0.017,-0.007,0.894,2.1,Auto,0,15.0,
7,411.1,-0.022,-0.000,0.922,1.9,Auto,0,15.0,
8,412.8,0.005,0.006,0.911,1.9,Auto,0,15.0,
9,409.6,0.013,0.001,0.905,1.9,Auto,0,15.0,
10,409.6,0.013,0.001,0.905,2.0,Auto,0,15.0,
11,412.8,-0.004,0.002,0.913,2.0,Auto,0,15.0,
12,412.8,-0.004,0.002,0.913,2.0,Auto,0,15.0,
13,410.8,-0.000,0.011,0.911,2.0,Auto,0,15.0,
14,413.7,-0.000,-0.001,0.908,2.0,Auto,0,15.0,
15,413.7,-0.000,-0.001,0.908,2.0,Auto,0,15.0,
16,408.8,-0.001,0.001,0.912,2.0,Auto,0,15.0,
17,405.1,0.001,0.019,0.903,2.0,Auto,0,15.0,
18,404.7,-0.007,-0.001,0.903,2.1,Auto,0,15.0,
19,405.3,0.004,0.012,0.920,2.1,Auto,0,15.0,
20,405.3,0.004,0.012,0.920,2.1,Auto,0,15.0,
21,407.6,0.000,0.011,0.912,2.2,Auto,0,15.0,
22,411.3,-0.021,-0.001,0.906,2.2,Auto,0,15.0,
23,413.7,-0.025,0.001,0.898,2.2,Auto,0,15.0,
24,413.7,-0.025,0.001,0.898,2.2,Auto,0,15.0,
25,416.1,-0.010,0.001,0.902,2.1,Auto,0,15.0,
26,415.5,-0.003,0.017,0.912,2.1,Auto,0,15.0,
