Date: 2023/07/11   21:39:43
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,44.5,0.008,-0.001,0.912,2.7,Auto,0,15.0,
1,45.6,0.000,-0.008,0.907,2.7,Auto,0,15.0,
2,45.3,-0.016,0.004,0.908,2.7,Auto,0,15.0,
3,45.3,-0.016,0.004,0.908,2.7,Auto,0,15.0,
4,45.3,-0.016,0.004,0.908,2.7,Auto,0,15.0,
5,45.8,-0.015,-0.007,0.911,2.7,Auto,0,15.0,
6,46.8,-0.042,0.002,0.911,2.5,Auto,0,15.0,
7,46.8,-0.042,0.002,0.911,2.5,Auto,0,15.0,
8,46.4,-0.052,0.027,0.908,2.5,Auto,0,15.0,
9,46.2,-0.015,0.002,0.912,2.5,Auto,0,15.0,
10,43.8,-0.001,0.007,0.915,2.5,Auto,0,15.0,
11,43.8,-0.001,0.007,0.915,2.5,Auto,0,15.0,
12,42.9,-0.008,0.012,0.899,2.5,Auto,0,15.0,
13,43.8,-0.005,-0.007,0.911,2.6,Auto,0,15.0,
14,45.4,-0.021,0.010,0.914,2.6,Auto,0,15.0,
15,45.4,-0.021,0.010,0.914,2.6,Auto,0,15.0,
16,46.6,-0.014,0.010,0.901,2.6,Auto,0,15.0,
17,48.1,-0.010,0.007,0.915,2.6,Auto,0,15.0,
18,48.3,-0.035,0.013,0.908,2.6,Auto,0,15.0,
19,48.0,-0.034,0.014,0.914,2.6,Auto,0,15.0,
20,48.0,-0.034,0.014,0.914,2.6,Auto,0,15.0,
21,47.7,-0.033,0.013,0.902,2.6,Auto,0,15.0,
22,44.1,-0.017,0.011,0.910,2.6,Auto,0,15.0,
23,44.1,-0.017,0.011,0.910,2.6,Auto,0,15.0,
24,42.9,-0.014,0.015,0.916,2.6,Auto,0,15.0,
25,42.3,0.009,-0.010,0.914,2.6,Auto,0,15.0,
26,43.4,-0.007,-0.004,0.907,2.6,Auto,0,15.0,
27,45.6,-0.013,0.002,0.919,2.6,Auto,0,15.0,
28,46.5,-0.017,0.009,0.908,2.7,Auto,0,15.0,
29,47.3,-0.019,0.008,0.903,2.7,Auto,0,15.0,
30,47.3,-0.019,0.008,0.903,2.7,Auto,0,15.0,
31,47.3,-0.023,0.011,0.907,2.7,Auto,0,15.0,
32,45.6,-0.015,0.015,0.907,2.7,Auto,0,15.0,
33,44.4,-0.016,0.014,0.908,2.7,Auto,0,15.0,
34,44.4,-0.016,0.014,0.908,2.7,Auto,0,15.0,
35,44.1,-0.012,0.013,0.911,2.4,Auto,0,15.0,
36,44.7,-0.008,-0.000,0.902,2.4,Auto,0,15.0,
37,45.1,-0.019,-0.001,0.905,2.4,Auto,0,15.0,
38,45.1,-0.019,-0.001,0.905,2.4,Auto,0,15.0,
39,44.4,-0.023,0.006,0.907,2.5,Auto,0,15.0,
40,43.2,-0.021,0.001,0.907,2.5,Auto,0,15.0,
41,42.1,-0.019,0.006,0.910,2.5,Auto,0,15.0,
42,42.1,-0.019,0.006,0.910,2.5,Auto,0,15.0,
43,41.9,-0.010,0.010,0.905,2.4,Auto,0,15.0,
44,40.8,-0.010,0.019,0.904,2.4,Auto,0,15.0,
45,40.5,-0.022,0.010,0.908,2.4,Auto,0,15.0,
46,40.5,-0.022,0.010,0.908,2.4,Auto,0,15.0,
47,40.0,-0.003,-0.008,0.910,2.4,Auto,0,15.0,
48,39.9,-0.021,0.008,0.911,2.4,Auto,0,15.0,
49,39.3,-0.011,0.002,0.907,2.4,Auto,0,15.0,
50,39.3,-0.011,0.002,0.907,2.5,Auto,0,15.0,
51,39.3,-0.011,-0.001,0.904,2.5,Auto,0,15.0,
52,38.5,-0.017,0.006,0.913,2.5,Auto,0,15.0,
53,38.9,-0.011,0.011,0.907,2.5,Auto,0,15.0,
54,38.9,-0.011,0.011,0.907,2.4,Auto,0,15.0,
55,39.0,-0.016,0.009,0.917,2.4,Auto,0,15.0,
56,40.9,-0.024,0.035,0.913,2.4,Auto,0,15.0,
57,40.9,-0.024,0.035,0.913,2.5,Auto,0,15.0,
58,42.3,-0.014,0.027,0.910,2.5,Auto,0,15.0,
59,42.3,-0.014,0.027,0.910,2.5,Auto,0,15.0,
60,42.9,-0.024,0.020,0.917,2.5,Auto,0,15.0,
61,43.2,-0.015,0.021,0.919,2.5,Auto,0,15.0,
62,43.2,-0.015,0.021,0.919,2.5,Auto,0,15.0,
63,43.4,-0.019,0.015,0.909,2.5,Auto,0,15.0,
64,43.2,-0.014,0.020,0.912,2.5,Auto,0,15.0,
65,43.2,-0.014,0.020,0.912,2.3,Auto,0,15.0,
66,42.9,-0.015,0.018,0.906,2.3,Auto,0,15.0,
67,44.3,-0.009,0.016,0.894,2.3,Auto,0,15.0,
68,44.3,-0.009,0.016,0.894,2.7,Auto,0,15.0,
69,45.4,-0.016,0.003,0.921,2.7,Auto,0,15.0,
70,46.5,-0.077,-0.346,0.955,2.7,Auto,0,15.0,
71,49.0,-0.025,0.035,0.949,2.7,Auto,0,15.0,
72,49.5,-0.006,0.024,0.945,2.5,Auto,0,15.0,
73,49.5,-0.006,0.024,0.945,2.5,Auto,0,15.0,
74,49.8,-0.016,0.020,0.923,2.5,Auto,0,15.0,
75,51.0,0.003,0.077,0.963,2.5,Auto,0,15.0,
76,50.5,0.000,-0.008,0.959,2.4,Auto,0,15.0,
77,50.5,0.000,-0.008,0.959,2.4,Auto,0,15.0,
78,51.1,-0.003,0.027,0.989,2.4,Auto,0,15.0,
79,51.8,0.004,-0.004,0.991,2.6,Auto,0,15.0,
80,51.8,0.004,-0.004,0.991,2.6,Auto,0,15.0,
81,52.9,-0.019,-0.003,0.984,2.6,Auto,0,15.0,
82,53.3,-0.031,-0.023,0.998,2.6,Auto,0,15.0,
83,53.4,-0.041,-0.015,0.992,2.9,Auto,0,15.0,
84,54.6,-0.050,0.003,0.971,2.9,Auto,0,15.0,
85,54.6,-0.050,0.003,0.971,2.9,Auto,0,15.0,
86,56.3,-0.054,0.015,0.984,2.9,Auto,0,15.0,
87,59.5,-0.060,-0.003,0.974,0.9,Auto,0,15.0,
88,62.7,-0.033,0.032,0.984,0.9,Auto,0,15.0,
89,66.9,-0.009,0.016,0.979,0.9,Auto,0,15.0,
90,66.9,-0.009,0.016,0.979,1.1,Auto,0,15.0,
91,68.7,-0.013,0.008,0.953,1.1,Auto,0,15.0,
92,71.8,-0.045,0.021,0.932,1.1,Auto,0,15.0,
93,73.3,-0.047,0.001,0.937,1.1,Auto,0,15.0,
94,73.3,-0.047,0.001,0.937,0.6,Auto,0,15.0,
95,75.6,-0.033,-0.006,0.973,0.6,Auto,0,15.0,
96,75.5,-0.045,-0.002,0.970,0.6,Auto,0,15.0,
97,75.9,-0.069,0.001,0.948,0.6,Auto,0,15.0,
98,75.9,-0.069,0.001,0.948,1.1,Auto,0,15.0,
99,77.0,-0.038,0.024,0.889,1.1,Auto,0,15.0,
100,77.0,-0.038,0.024,0.889,1.1,Auto,0,15.0,
101,77.3,-0.035,0.042,0.893,1.8,Auto,0,15.0,
102,77.5,-0.047,0.032,0.877,1.8,Auto,0,15.0,
103,78.1,-0.024,0.025,0.889,1.8,Auto,0,15.0,
104,78.1,-0.024,0.025,0.889,1.8,Auto,0,15.0,
105,79.5,-0.036,0.032,0.872,2.3,Auto,0,15.0,
106,81.0,-0.083,0.050,0.876,2.3,Auto,0,15.0,
107,81.9,-0.079,0.040,0.880,2.3,Auto,0,15.0,
108,81.9,-0.079,0.040,0.880,2.3,Auto,0,15.0,
109,82.8,-0.048,0.027,0.881,3.1,Auto,0,15.0,
110,83.1,-0.063,0.030,0.878,3.1,Auto,0,15.0,
111,83.4,-0.055,0.023,0.883,3.1,Auto,0,15.0,
112,83.4,-0.055,0.023,0.883,4.1,Auto,0,15.0,
113,84.5,-0.043,0.024,0.872,4.1,Auto,0,15.0,
114,84.8,-0.052,0.030,0.868,4.1,Auto,0,15.0,
115,86.1,-0.054,0.024,0.869,4.1,Auto,0,15.0,
116,86.1,-0.054,0.024,0.869,5.0,Auto,0,15.0,
117,85.8,-0.039,0.028,0.863,5.0,Auto,0,15.0,
118,86.0,-0.013,0.014,0.843,5.0,Auto,0,15.0,
119,85.6,-0.067,0.048,0.844,5.0,Auto,0,15.0,
120,85.6,-0.067,0.048,0.844,5.2,Auto,0,15.0,
121,84.8,-0.075,0.044,0.854,5.2,Auto,0,15.0,
