Date: 2023/12/11   09:10:59,,,,,,,,,,,,
Time,Grip Force_rd1(g),Height_rd1(cm),Grip Force_rd2(g),Height_rd2(cm),Grip Force_rd3(g),Height_rd3(cm),Grip Force_rd4(g),Height_rd4(cm),Grip Force_rd5(g),Height_rd5(cm),Grip Force_rd6(g),Height_rd6(cm)
0,135,2.1,118.2,2.2,71.7,2.4,70.3,2.2,70.5,2.2,118.5,2.2
1,135,2.1,117.6,2.3,71.8,2.4,67.3,2.2,69.6,2.2,116.8,2.2
2,135.8,2.1,116.4,2.3,70.8,2.4,71.1,2.2,69.6,2.2,116.8,2.2
3,135.3,2.1,116.4,2.3,70.8,2.2,71.1,2.2,69,2.4,117.4,2.2
4,138.6,2.1,114.9,2.3,68.1,2.2,71.3,2.2,68.8,2.4,116.4,2.2
5,138.6,2.1,115.2,2,66.5,2.2,71.3,2.2,68.8,2.4,116.8,2.3
6,137.8,2.4,116.1,2,66.5,2.2,71.3,2.2,67.3,2.4,116.8,2.3
7,136.5,2.4,116.1,2,66.5,2.1,71.5,2.2,71,2.2,115,2.3
8,136.5,2.4,117.4,2.2,66,2.1,71.3,2.2,71.5,2.2,115.3,2.3
9,134.5,2.2,121.9,2.2,66.6,2.1,71.3,2.2,72.6,2.2,115.8,2.4
10,133.8,2.2,121.6,2.2,66.6,2.2,72.3,2.2,70.2,2.2,115.8,2.4
11,132.8,2.2,124.9,2.2,66.6,2.2,72.3,2.2,70.2,2.3,116.5,2.4
12,133.3,2.2,124.2,2.5,66.8,2.2,72.8,2.2,69.6,2.3,116.5,2.4
13,133.3,2.4,119.1,2.5,66.8,2.2,72.8,2.2,69.6,2.3,116.8,2.3
14,133.7,2.4,119.1,2.5,66,2.3,72.9,2.2,69,2.2,116.8,2.3
15,133.7,2.4,116.3,2.5,65.7,2.3,74.1,2.2,69,2.2,116.3,2.3
16,133.7,2.4,118.5,2.2,65.7,2.3,75.8,2.2,69.5,2.2,116.7,2.4
17,133.7,2.2,118.5,2.2,64.8,2.3,75.8,2.2,69.9,2.2,116.7,2.4
18,136,2.2,118,2.2,64.8,2.1,75.5,2.2,70.5,2.1,114,2.4
19,136.5,2.2,121.3,2.3,64.3,2.1,75.5,2.2,70.5,2.1,114,2.4
20,135.8,2.2,121.3,2.3,64.6,2.1,74,2.3,67.6,2.1,112,2.4
21,135.8,2.2,125.4,2.3,63.9,2.2,74,2.3,69.5,2.1,112,2.4
22,135.6,2.2,125.4,2.3,63.9,2.2,74,2.3,68.8,2.2,112,2.4
23,135.6,2.2,124.6,2.2,63.8,2.2,72.5,2.2,68.8,2.2,112,2.4
24,133.9,2.1,124.6,2.2,63.8,2.2,73,2.2,69.5,2.2,113.1,2.2
25,135.8,2.1,124.3,2.2,63.8,2,73,2.2,69.5,2.3,113.1,2.2
26,135.8,2.1,124.3,2.2,63.8,2,72.8,2.2,66,2.3,111.9,2.2
27,136.5,2.1,123.1,2.2,64.6,2,74.7,2,66,2.3,111.9,2.1
28,136.5,2.2,121.9,2.2,65.1,2,74.5,2,70.6,2.3,111.6,2.1
29,136.5,2.2,123.4,2.2,64.3,2.1,74.5,2,72.1,2.1,111.6,2.1
30,136.7,2.2,125.8,2.6,64.3,2.1,74.5,2,72.8,2.1,111.1,2.1
31,137.5,2.1,130.9,2.6,63.3,2.1,73.3,2.3,74.1,2.1,110.1,2.1
32,139.9,2.1,130.9,2.6,63.8,2.2,70.8,2.3,74.1,2.1,107.3,2.1
33,140.7,2.1,133.7,2.6,62.8,2.2,70.8,2.3,73.2,2,107.3,2.1
34,142.3,2.1,133.7,2.3,62.8,2.2,71.5,2.2,73.2,2,106.8,2.1
35,144,2.3,135.2,2.3,63.3,2.2,71.3,2.2,73.3,2,106.3,2.2
36,142.9,2.3,134.7,2.3,63.6,2.2,71.3,2.2,73.3,2.2,108.5,2.2
37,144.2,2.3,133.2,2.3,64.5,2.2,72.3,2.2,72.1,2.2,108.5,2.2
38,145.9,2.3,133.2,2.2,64.5,2.2,72.3,2.3,72.1,2.2,109.5,2.2
39,145,2.3,131.1,2.2,64.2,2.2,73.2,2.3,73.6,2.2,109,2.2
40,145,2.3,130.2,2.2,64,2.6,73.2,2.3,73.6,2.3,109.3,2.2
41,144.3,2.3,130.7,2.2,64,2.6,72.3,2.3,76.2,2.3,109.6,2.2
42,139.9,2.2,130.7,2.2,64,2.6,72.3,2.2,76.2,2.3,106.3,2.1
43,142.9,2.2,131.1,2.2,61.8,2.1,72.3,2.2,75.5,2.3,106.3,2.1
44,142.9,2.2,129.9,2.2,62.1,2.1,72.3,2.2,75.5,2.1,103.6,2.1
45,143.4,2.2,130.7,2.4,62.1,2.1,70.8,2.2,77,2.1,103.6,2.1
46,143.5,2.4,130.7,2.4,61.2,2.1,70.8,2.2,76.2,2.1,102.5,2
47,143.3,2.4,129.9,2.4,61.2,2.2,73,2.2,75.5,2,104,2
48,143.3,2.4,131.8,2.4,62.1,2.2,73,2.2,73.3,2,105.1,2
49,142.7,2.4,131.7,2.1,62.1,2.2,72.5,2.2,73.6,2,105.1,1.9
50,143.7,2.2,131.7,2.1,60,2.2,74.4,2.2,73.6,2,106.2,1.9
51,143.7,2.2,131.7,2.1,60,2.3,77.5,2.2,75,2.1,105.5,1.9
52,143.7,2.2,127.8,2.3,61.6,2.3,77.5,2.2,75,2.1,105.3,1.9
53,145.3,2.1,127.8,2.3,61.5,2.3,78.1,1.9,76.2,2.1,105.3,2.1
54,146.7,2.1,127.3,2.3,61.5,2.4,81.5,1.9,76.2,2.1,111,2.1
55,147.6,2.1,128.5,2.3,61.5,2.4,83.7,1.9,74.4,2.3,121.8,2.1
56,147.4,2.1,128.5,2.2,62.3,2.4,83.7,2.1,74.5,2.3,121.8,2.1
57,147.4,2.2,128.5,2.2,62.3,2.4,85.8,2.1,73.8,2.3,128.4,2.4
58,150,2.2,128.4,2.2,61.5,2.2,84.8,2.1,73.8,2.3,128.4,2.4
59,150,2.2,127.8,2.2,61.5,2.2,89.8,2.1,71.8,2.3,145,2.4
60,148,2.2,127.8,2.3,62.4,2.2,89.8,2.3,71.8,2.3,145,2.7
61,152.3,2.2,127,2.3,62.4,2.2,89.8,2.3,74.5,2.3,149.7,2.7
62,152.3,2.2,126.4,2.3,58.8,2.3,102.1,2.3,74.5,2.1,149.7,2.7
63,154.2,2.2,126.4,2.3,62.1,2.3,102.1,2.3,72.5,2.1,175.8,2.7
64,154.8,2.1,127.2,2.3,61.8,2.3,102.1,2,72.5,2.1,175.8,2.4
65,160.2,2.1,127.2,2.3,61.8,2.5,105.1,2,74.5,2.1,192.4,2.4
66,160.2,2.1,128.3,2.3,62.1,2.5,107.8,2,74.5,2.1,192.4,2.4
