Date: 2023/12/11   15:04:40
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,211.9,0.013,0.042,0.914,2.3,Auto,0,15.0,
1,215.7,0.008,0.044,0.913,2.3,Auto,0,15.0,
2,215.7,0.008,0.044,0.913,2.3,Auto,0,15.0,
3,212.7,0.009,0.043,0.913,2.3,Auto,0,15.0,
4,216.0,0.003,0.043,0.913,2.1,Auto,0,15.0,
5,216.0,0.003,0.043,0.913,2.1,Auto,0,15.0,
6,217.8,-0.001,0.033,0.907,2.1,Auto,0,15.0,
7,214.9,-0.006,0.027,0.917,2.2,Auto,0,15.0,
8,220.7,0.008,0.037,0.917,2.2,Auto,0,15.0,
9,222.8,0.000,0.035,0.910,2.2,Auto,0,15.0,
10,222.8,0.000,0.035,0.910,2.2,Auto,0,15.0,
11,225.4,0.003,0.033,0.915,2.3,Auto,0,15.0,
12,226.9,-0.013,0.028,0.910,2.3,Auto,0,15.0,
13,227.3,0.003,0.032,0.930,2.3,Auto,0,15.0,
14,227.3,0.003,0.032,0.930,2.3,Auto,0,15.0,
15,230.8,0.016,0.036,0.915,2.2,Auto,0,15.0,
16,233.5,0.016,0.030,0.900,2.2,Auto,0,15.0,
17,235.9,0.000,0.033,0.905,2.2,Auto,0,15.0,
18,235.9,0.000,0.033,0.905,2.3,Auto,0,15.0,
19,238.2,-0.003,0.027,0.910,2.3,Auto,0,15.0,
20,239.7,0.001,0.034,0.909,2.3,Auto,0,15.0,
21,239.5,0.003,0.035,0.916,2.3,Auto,0,15.0,
22,239.5,0.003,0.035,0.916,2.4,Auto,0,15.0,
23,242.8,0.009,0.041,0.907,2.4,Auto,0,15.0,
24,242.8,0.009,0.041,0.907,2.4,Auto,0,15.0,
25,244.2,0.010,0.036,0.908,2.4,Auto,0,15.0,
26,244.2,0.010,0.036,0.908,1.9,Auto,0,15.0,
27,245.4,0.003,0.028,0.912,1.9,Auto,0,15.0,
28,245.4,0.003,0.028,0.912,1.9,Auto,0,15.0,
29,248.4,0.006,0.036,0.920,1.9,Auto,0,15.0,
30,248.4,0.006,0.036,0.920,1.9,Auto,0,15.0,
31,249.9,-0.003,0.032,0.920,1.9,Auto,0,15.0,
32,250.6,0.002,0.040,0.906,1.9,Auto,0,15.0,
33,250.6,0.002,0.040,0.906,2.2,Auto,0,15.0,
34,251.1,0.006,0.033,0.910,2.2,Auto,0,15.0,
35,249.4,0.001,0.039,0.925,2.2,Auto,0,15.0,
36,249.4,0.001,0.039,0.925,2.2,Auto,0,15.0,
37,251.7,0.000,0.034,0.910,2.2,Auto,0,15.0,
38,250.6,0.002,0.035,0.908,2.2,Auto,0,15.0,
39,250.9,0.003,0.038,0.911,2.2,Auto,0,15.0,
40,250.9,0.002,0.028,0.910,2.4,Auto,0,15.0,
41,250.9,0.002,0.028,0.910,2.4,Auto,0,15.0,
42,251.1,-0.006,0.036,0.914,2.4,Auto,0,15.0,
43,250.5,-0.004,0.033,0.901,2.4,Auto,0,15.0,
44,252.1,-0.014,0.026,0.922,1.8,Auto,0,15.0,
45,252.1,-0.014,0.026,0.922,1.8,Auto,0,15.0,
46,250.6,-0.006,0.037,0.911,1.8,Auto,0,15.0,
47,252.0,0.007,0.025,0.912,1.8,Auto,0,15.0,
48,252.4,0.011,0.028,0.913,1.9,Auto,0,15.0,
49,252.4,0.011,0.028,0.913,1.9,Auto,0,15.0,
50,253.3,-0.001,0.027,0.927,1.9,Auto,0,15.0,
51,255.9,-0.002,0.036,0.917,2.2,Auto,0,15.0,
52,253.2,0.005,0.036,0.902,2.2,Auto,0,15.0,
53,253.2,0.005,0.036,0.902,2.2,Auto,0,15.0,
54,256.2,0.007,0.030,0.908,2.2,Auto,0,15.0,
55,256.3,0.003,0.030,0.915,2.0,Auto,0,15.0,
56,257.6,0.006,0.037,0.909,2.0,Auto,0,15.0,
57,257.6,0.006,0.037,0.909,2.0,Auto,0,15.0,
58,262.9,0.006,0.034,0.917,2.0,Auto,0,15.0,
59,262.9,0.006,0.034,0.917,2.3,Auto,0,15.0,
60,260.7,-0.006,0.029,0.905,2.3,Auto,0,15.0,
61,260.7,-0.006,0.029,0.905,2.3,Auto,0,15.0,
62,261.6,-0.004,0.035,0.916,2.0,Auto,0,15.0,
63,263.4,-0.002,0.032,0.923,2.0,Auto,0,15.0,
64,263.8,-0.008,0.026,0.913,2.0,Auto,0,15.0,
65,263.8,0.005,0.035,0.913,2.0,Auto,0,15.0,
66,263.8,0.005,0.035,0.913,2.1,Auto,0,15.0,
67,266.1,-0.005,0.032,0.919,2.1,Auto,0,15.0,
68,266.1,-0.005,0.032,0.919,2.1,Auto,0,15.0,
69,265.6,0.003,0.037,0.917,2.1,Auto,0,15.0,
70,265.6,0.003,0.037,0.917,2.0,Auto,0,15.0,
71,266.6,0.006,0.032,0.912,2.0,Auto,0,15.0,
72,266.6,0.006,0.032,0.912,2.0,Auto,0,15.0,
73,267.1,0.008,0.030,0.913,2.2,Auto,0,15.0,
74,264.9,0.007,0.041,0.916,2.2,Auto,0,15.0,
75,271.2,-0.011,0.035,0.908,2.2,Auto,0,15.0,
76,271.2,-0.011,0.035,0.908,2.2,Auto,0,15.0,
77,269.8,-0.006,0.034,0.913,2.1,Auto,0,15.0,
78,279.0,-0.007,0.035,0.918,2.1,Auto,0,15.0,
79,281.4,0.003,0.033,0.914,2.1,Auto,0,15.0,
80,281.4,0.003,0.033,0.914,2.1,Auto,0,15.0,
81,283.1,-0.009,0.030,0.913,2.1,Auto,0,15.0,
82,283.8,-0.006,0.022,0.913,2.1,Auto,0,15.0,
83,290.4,-0.005,0.041,0.923,2.1,Auto,0,15.0,
84,290.4,-0.005,0.041,0.923,1.9,Auto,0,15.0,
85,295.3,0.014,0.041,0.916,1.9,Auto,0,15.0,
86,295.3,0.014,0.041,0.916,1.9,Auto,0,15.0,
87,300.0,-0.001,0.052,0.916,1.9,Auto,0,15.0,
88,300.0,-0.001,0.052,0.916,2.1,Auto,0,15.0,
89,301.9,-0.004,0.024,0.915,2.1,Auto,0,15.0,
90,304.2,-0.000,0.020,0.921,2.1,Auto,0,15.0,
91,306.1,-0.006,0.033,0.917,2.1,Auto,0,15.0,
92,303.9,0.003,0.027,0.911,2.4,Auto,0,15.0,
93,307.8,-0.002,0.009,0.909,2.4,Auto,0,15.0,
94,309.0,0.000,0.034,0.906,2.4,Auto,0,15.0,
95,308.8,0.007,0.029,0.914,2.1,Auto,0,15.0,
96,309.9,0.002,0.036,0.917,2.1,Auto,0,15.0,
97,310.5,0.016,0.042,0.902,2.1,Auto,0,15.0,
98,307.8,0.044,0.036,0.923,2.1,Auto,0,15.0,
99,313.2,-0.039,0.042,0.889,2.1,Auto,0,15.0,
100,313.2,-0.039,0.042,0.889,2.1,Auto,0,15.0,
101,314.8,-0.009,0.021,0.910,2.1,Auto,0,15.0,
102,319.6,-0.028,-0.024,0.975,2.1,Auto,0,15.0,
103,319.9,-0.065,-0.011,0.969,1.9,Auto,0,15.0,
104,318.8,-0.033,0.006,0.964,1.9,Auto,0,15.0,
105,318.8,-0.033,0.006,0.964,1.9,Auto,0,15.0,
106,316.8,-0.020,0.025,0.943,2.1,Auto,0,15.0,
107,316.8,-0.020,0.025,0.943,2.1,Auto,0,15.0,
108,316.8,-0.020,0.025,0.943,2.1,Auto,0,15.0,
109,317.1,-0.021,0.031,0.947,2.1,Auto,0,15.0,
110,317.1,-0.021,0.031,0.947,2.2,Auto,0,15.0,
111,315.6,0.008,0.045,0.915,2.2,Auto,0,15.0,
112,317.3,-0.022,0.051,0.903,2.2,Auto,0,15.0,
113,313.9,-0.020,0.055,0.897,2.2,Auto,0,15.0,
114,311.4,-0.021,0.029,0.921,3.1,Auto,0,15.0,
115,311.4,-0.021,0.029,0.921,3.1,Auto,0,15.0,
116,309.4,-0.025,0.020,0.952,3.1,Auto,0,15.0,
117,308.3,-0.036,0.032,0.929,2.2,Auto,0,15.0,
118,307.3,-0.031,0.030,0.927,2.2,Auto,0,15.0,
119,307.3,-0.031,0.030,0.927,2.2,Auto,0,15.0,
120,303.0,-0.028,0.037,0.913,2.2,Auto,0,15.0,
121,300.4,-0.028,0.038,0.908,1.2,Auto,0,15.0,
122,300.4,-0.028,0.038,0.908,1.2,Auto,0,15.0,
123,294.0,-0.038,0.041,0.907,1.2,Auto,0,15.0,
124,291.3,-0.047,0.051,0.895,1.2,Auto,0,15.0,
125,292.9,-0.055,0.047,0.889,0.8,Auto,0,15.0,
126,291.0,-0.067,0.060,0.880,0.8,Auto,0,15.0,
127,291.0,-0.067,0.060,0.880,0.8,Auto,0,15.0,
128,290.6,-0.050,0.057,0.876,1.1,Auto,0,15.0,
129,285.0,-0.057,0.041,0.916,1.1,Auto,0,15.0,
130,285.0,-0.057,0.041,0.916,1.1,Auto,0,15.0,
131,285.0,-0.057,0.041,0.916,1.1,Auto,0,15.0,
132,280.5,-0.068,0.022,0.934,1.0,Auto,0,15.0,
133,280.5,-0.068,0.022,0.934,1.0,Auto,0,15.0,
134,275.4,-0.040,0.023,0.938,1.0,Auto,0,15.0,
135,275.4,-0.040,0.023,0.938,1.0,Auto,0,15.0,
136,269.8,-0.052,0.030,0.935,1.5,Auto,0,15.0,
137,267.6,-0.039,0.035,0.928,1.5,Auto,0,15.0,
138,264.6,-0.045,0.042,0.930,1.5,Auto,0,15.0,
139,264.6,-0.045,0.042,0.930,1.4,Auto,0,15.0,
140,263.1,-0.036,0.036,0.920,1.4,Auto,0,15.0,
141,263.1,-0.036,0.036,0.920,1.4,Auto,0,15.0,
142,262.1,-0.039,0.035,0.923,1.4,Auto,0,15.0,
143,262.1,-0.039,0.035,0.923,1.8,Auto,0,15.0,
144,259.6,-0.063,0.031,0.932,1.8,Auto,0,15.0,
145,259.6,-0.063,0.031,0.932,1.8,Auto,0,15.0,
146,257.7,-0.046,0.033,0.925,1.8,Auto,0,15.0,
147,252.6,-0.031,0.042,0.912,1.9,Auto,0,15.0,
148,253.2,-0.061,0.050,0.920,1.9,Auto,0,15.0,
149,252.4,-0.070,0.036,0.929,1.9,Auto,0,15.0,
150,252.4,-0.070,0.036,0.929,2.2,Auto,0,15.0,
151,252.4,-0.069,0.025,0.942,2.2,Auto,0,15.0,
152,250.3,-0.040,0.009,0.956,2.2,Auto,0,15.0,
153,245.5,-0.058,0.021,0.940,2.2,Auto,0,15.0,
154,245.5,-0.058,0.021,0.940,2.4,Auto,0,15.0,
155,247.3,-0.043,0.021,0.936,2.4,Auto,0,15.0,
156,245.8,-0.043,0.030,0.911,2.4,Auto,0,15.0,
157,244.2,-0.065,0.042,0.894,2.4,Auto,0,15.0,
158,244.2,-0.065,0.042,0.894,2.4,Auto,0,15.0,
159,242.8,-0.045,0.031,0.898,2.4,Auto,0,15.0,
160,240.8,-0.066,0.051,0.900,2.4,Auto,0,15.0,
161,240.3,-0.063,0.042,0.896,2.6,Auto,0,15.0,
162,240.3,-0.063,0.042,0.896,2.6,Auto,0,15.0,
163,240.1,-0.058,0.059,0.888,2.6,Auto,0,15.0,
164,240.8,-0.043,0.055,0.866,2.6,Auto,0,15.0,
165,241.3,-0.036,0.063,0.878,3.0,Auto,0,15.0,
166,241.3,-0.036,0.063,0.878,3.0,Auto,0,15.0,
167,241.3,-0.060,0.048,0.896,3.0,Auto,0,15.0,
168,242.4,-0.042,0.022,0.923,3.0,Auto,0,15.0,
169,242.4,-0.042,0.022,0.923,3.3,Auto,0,15.0,
170,242.7,-0.060,0.031,0.902,3.3,Auto,0,15.0,
