Date: 2023/12/11   09:10:59
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,135.0,0.000,0.030,0.913,2.1,Auto,0,15.0,
1,135.0,0.000,0.030,0.913,2.1,Auto,0,15.0,
2,135.8,0.000,0.026,0.915,2.1,Auto,0,15.0,
3,135.3,-0.003,0.034,0.904,2.1,Auto,0,15.0,
4,138.6,-0.006,0.027,0.903,2.1,Auto,0,15.0,
5,138.6,-0.006,0.027,0.903,2.1,Auto,0,15.0,
6,137.8,-0.004,0.028,0.903,2.4,Auto,0,15.0,
7,136.5,0.003,0.021,0.911,2.4,Auto,0,15.0,
8,136.5,0.003,0.021,0.911,2.4,Auto,0,15.0,
9,134.5,-0.006,0.026,0.922,2.2,Auto,0,15.0,
10,133.8,-0.018,0.037,0.904,2.2,Auto,0,15.0,
11,132.8,-0.002,0.034,0.918,2.2,Auto,0,15.0,
12,133.3,-0.011,0.043,0.918,2.2,Auto,0,15.0,
13,133.3,-0.011,0.043,0.918,2.4,Auto,0,15.0,
14,133.7,-0.014,0.016,0.915,2.4,Auto,0,15.0,
15,133.7,-0.015,0.032,0.913,2.4,Auto,0,15.0,
16,133.7,-0.000,0.023,0.913,2.4,Auto,0,15.0,
17,133.7,-0.000,0.023,0.913,2.2,Auto,0,15.0,
18,136.0,0.006,0.024,0.918,2.2,Auto,0,15.0,
19,136.5,-0.012,0.042,0.913,2.2,Auto,0,15.0,
20,135.8,-0.017,0.048,0.911,2.2,Auto,0,15.0,
21,135.8,-0.017,0.048,0.911,2.2,Auto,0,15.0,
22,135.6,-0.027,0.041,0.913,2.2,Auto,0,15.0,
23,135.6,-0.027,0.041,0.913,2.2,Auto,0,15.0,
24,133.9,-0.021,0.043,0.907,2.1,Auto,0,15.0,
25,135.8,-0.004,0.023,0.919,2.1,Auto,0,15.0,
26,135.8,-0.004,0.023,0.919,2.1,Auto,0,15.0,
27,136.5,0.008,0.021,0.908,2.1,Auto,0,15.0,
28,136.5,0.008,0.021,0.908,2.2,Auto,0,15.0,
29,136.5,0.008,0.021,0.908,2.2,Auto,0,15.0,
30,136.7,0.000,0.029,0.909,2.2,Auto,0,15.0,
31,137.5,0.006,0.027,0.904,2.1,Auto,0,15.0,
32,139.9,0.001,0.032,0.897,2.1,Auto,0,15.0,
33,140.7,-0.005,0.015,0.909,2.1,Auto,0,15.0,
34,142.3,-0.001,0.025,0.905,2.1,Auto,0,15.0,
35,144.0,-0.006,0.027,0.913,2.3,Auto,0,15.0,
36,142.9,0.013,0.017,0.902,2.3,Auto,0,15.0,
37,144.2,0.007,0.022,0.905,2.3,Auto,0,15.0,
38,145.9,-0.016,0.032,0.918,2.3,Auto,0,15.0,
39,145.0,-0.010,0.041,0.929,2.3,Auto,0,15.0,
